userid,perroid,megusta,rated_date
9,465,5,2023-02-13 22:59:15.065-05
9,446,5,2023-02-13 22:59:15.102-05
9,112,5,2023-02-13 22:59:15.126-05
9,436,5,2023-02-13 22:59:15.139-05
9,289,5,2023-02-13 22:59:15.152-05
9,11,5,2023-02-13 22:59:15.165-05
9,94,5,2023-02-13 22:59:15.187-05
9,127,5,2023-02-13 22:59:15.198-05
9,189,5,2023-02-13 22:59:15.212-05
9,351,5,2023-02-13 22:59:15.225-05
9,109,5,2023-02-13 22:59:15.237-05
9,44,5,2023-02-13 22:59:15.249-05
9,313,5,2023-02-13 22:59:48.46-05
9,474,5,2023-02-13 22:59:50.19-05
9,405,5,2023-02-13 22:59:52.869-05
9,54,5,2023-02-13 22:59:54.978-05
9,462,1,2023-02-13 23:00:19.736-05
9,208,1,2023-02-13 23:00:19.794-05
9,443,1,2023-02-13 23:00:19.81-05
9,12,1,2023-02-13 23:00:19.835-05
9,278,1,2023-02-13 23:00:19.848-05
9,45,1,2023-02-13 23:00:19.862-05
9,480,1,2023-02-13 23:00:19.88-05
9,222,1,2023-02-13 23:00:19.894-05
10,215,5,2023-02-14 09:05:52.815-05
10,146,5,2023-02-14 09:05:52.833-05
10,152,5,2023-02-14 09:05:52.843-05
10,149,5,2023-02-14 09:05:52.852-05
10,126,5,2023-02-14 09:05:52.861-05
10,111,5,2023-02-14 09:05:52.871-05
10,213,5,2023-02-14 09:05:52.88-05
10,480,5,2023-02-14 09:05:52.89-05
10,68,5,2023-02-14 09:05:52.904-05
10,67,5,2023-02-14 09:05:52.912-05
10,234,5,2023-02-14 09:05:52.921-05
10,438,5,2023-02-14 09:05:52.929-05
10,414,1,2023-02-14 09:06:25.144-05
10,274,1,2023-02-14 09:06:25.166-05
10,303,1,2023-02-14 09:06:25.174-05
10,6,1,2023-02-14 09:06:25.181-05
10,223,1,2023-02-14 09:06:25.189-05
10,141,1,2023-02-14 09:06:25.196-05
10,245,1,2023-02-14 09:06:25.205-05
10,429,1,2023-02-14 09:06:25.213-05
10,133,1,2023-02-14 09:06:25.221-05
10,478,1,2023-02-14 09:06:25.237-05
10,256,1,2023-02-14 09:06:25.246-05
10,65,1,2023-02-14 09:06:25.256-05
10,204,1,2023-02-14 09:08:17.086-05
10,458,1,2023-02-14 09:08:17.096-05
10,183,1,2023-02-14 09:08:17.102-05
10,268,1,2023-02-14 09:08:17.109-05
10,179,1,2023-02-14 09:08:17.115-05
10,361,1,2023-02-14 09:08:17.121-05
10,364,1,2023-02-14 09:08:17.128-05
10,15,1,2023-02-14 09:08:17.135-05
10,139,1,2023-02-14 09:08:17.142-05
10,160,1,2023-02-14 09:08:17.148-05
10,125,1,2023-02-14 09:08:17.155-05
10,142,1,2023-02-14 09:08:17.161-05
11,360,1,2023-02-14 10:35:07.076-05
11,234,1,2023-02-14 10:35:07.101-05
11,63,1,2023-02-14 10:35:07.109-05
11,50,1,2023-02-14 10:35:07.116-05
11,368,1,2023-02-14 10:35:07.124-05
11,436,1,2023-02-14 10:35:07.131-05
11,32,1,2023-02-14 10:35:07.138-05
11,286,1,2023-02-14 10:35:07.144-05
11,283,1,2023-02-14 10:35:07.152-05
11,62,1,2023-02-14 10:35:07.161-05
11,74,1,2023-02-14 10:35:07.167-05
11,58,1,2023-02-14 10:35:07.174-05
11,472,5,2023-02-14 10:35:34.608-05
11,48,5,2023-02-14 10:35:34.618-05
11,14,5,2023-02-14 10:35:34.624-05
11,444,5,2023-02-14 10:35:34.631-05
11,46,5,2023-02-14 10:35:34.639-05
11,70,5,2023-02-14 10:35:34.646-05
11,379,5,2023-02-14 10:35:34.653-05
11,290,5,2023-02-14 10:35:34.659-05
11,473,5,2023-02-14 10:35:34.666-05
11,466,5,2023-02-14 10:35:34.674-05
11,416,5,2023-02-14 10:35:34.681-05
11,45,5,2023-02-14 10:35:34.688-05
12,293,1,2023-02-15 09:10:11.564-05
11,192,1,2023-02-14 10:36:44.124-05
11,373,1,2023-02-14 10:36:44.15-05
11,389,1,2023-02-14 10:36:44.164-05
11,15,1,2023-02-14 10:36:44.18-05
11,152,1,2023-02-14 10:36:44.188-05
11,369,1,2023-02-14 10:36:44.194-05
11,249,1,2023-02-14 10:36:44.2-05
11,435,1,2023-02-14 10:36:44.208-05
11,341,1,2023-02-14 10:36:44.215-05
11,267,1,2023-02-14 10:36:44.222-05
11,197,1,2023-02-14 10:36:44.228-05
11,106,1,2023-02-14 10:36:44.234-05
12,54,1,2023-02-15 09:10:11.568-05
11,303,1,2023-02-14 10:37:25.281-05
11,213,1,2023-02-14 10:37:25.299-05
11,190,1,2023-02-14 10:37:25.305-05
11,438,1,2023-02-14 10:37:25.311-05
11,477,1,2023-02-14 10:37:25.317-05
11,144,1,2023-02-14 10:37:25.323-05
11,386,1,2023-02-14 10:37:25.329-05
11,421,1,2023-02-14 10:37:25.335-05
11,384,1,2023-02-14 10:37:25.341-05
11,236,1,2023-02-14 10:37:25.348-05
11,53,1,2023-02-14 10:37:25.355-05
11,361,1,2023-02-14 10:37:25.364-05
9,190,1,2023-02-14 11:36:56.695-05
9,126,1,2023-02-14 11:36:56.72-05
9,379,5,2023-02-14 11:36:56.73-05
9,168,5,2023-02-14 11:36:56.738-05
9,69,1,2023-02-14 11:36:56.747-05
9,39,5,2023-02-14 11:36:56.756-05
9,417,1,2023-02-14 11:36:56.763-05
9,290,5,2023-02-14 11:36:56.771-05
9,416,5,2023-02-14 11:36:56.782-05
9,199,1,2023-02-14 11:36:56.79-05
9,17,5,2023-02-14 11:36:56.799-05
9,388,1,2023-02-14 11:36:56.808-05
12,39,5,2023-02-15 09:09:41.175-05
12,378,5,2023-02-15 09:09:41.19-05
12,34,5,2023-02-15 09:09:41.198-05
12,148,5,2023-02-15 09:09:41.205-05
12,447,5,2023-02-15 09:09:41.212-05
12,481,5,2023-02-15 09:09:41.217-05
12,43,5,2023-02-15 09:09:41.223-05
12,193,1,2023-02-15 09:09:41.228-05
12,44,5,2023-02-15 09:09:41.241-05
12,11,5,2023-02-15 09:09:41.248-05
12,134,5,2023-02-15 09:09:41.254-05
12,66,5,2023-02-15 09:09:41.261-05
12,330,5,2023-02-15 09:09:57.767-05
12,398,5,2023-02-15 09:10:00.896-05
12,483,5,2023-02-15 09:10:04.737-05
12,419,5,2023-02-15 09:10:05.65-05
12,7,5,2023-02-15 09:10:06.39-05
12,175,1,2023-02-15 09:10:11.557-05
12,249,1,2023-02-15 09:10:11.573-05
12,417,1,2023-02-15 09:10:11.577-05
12,53,1,2023-02-15 09:10:11.582-05
12,360,1,2023-02-15 09:10:11.587-05
12,405,5,2023-02-15 09:10:16.713-05
12,451,5,2023-02-15 09:10:19.608-05
12,129,5,2023-02-15 09:10:21.008-05
12,480,5,2023-02-15 09:10:25.903-05
12,57,5,2023-02-15 09:10:27.258-05
12,126,1,2023-02-15 09:10:29.599-05
12,294,1,2023-02-15 09:10:29.606-05
12,443,1,2023-02-15 09:10:29.61-05
12,358,1,2023-02-15 09:10:29.615-05
12,305,1,2023-02-15 09:10:29.62-05
12,385,1,2023-02-15 09:10:29.625-05
12,62,1,2023-02-15 09:10:29.629-05
12,93,5,2023-02-15 09:10:34.513-05
12,48,5,2023-02-15 09:10:37.51-05
12,190,5,2023-02-15 09:10:39.294-05
12,462,5,2023-02-15 09:10:41.441-05
12,468,5,2023-02-15 09:10:42.387-05
12,173,5,2023-02-15 09:10:43.215-05
12,177,5,2023-02-15 09:10:44.188-05
12,373,1,2023-02-15 09:10:46.276-05
12,310,1,2023-02-15 09:10:46.284-05
12,386,1,2023-02-15 09:10:46.29-05
12,157,1,2023-02-15 09:10:46.295-05
12,149,1,2023-02-15 09:10:46.314-05
12,317,5,2023-02-15 09:10:52.362-05
12,2,5,2023-02-15 09:10:54.247-05
12,15,5,2023-02-15 09:10:56.418-05
12,55,5,2023-02-15 09:10:57.306-05
12,113,5,2023-02-15 09:10:58.007-05
12,140,5,2023-02-15 09:11:00.516-05
12,263,5,2023-02-15 09:11:02.202-05
12,321,1,2023-02-15 09:11:04.238-05
12,347,1,2023-02-15 09:11:04.253-05
12,215,1,2023-02-15 09:11:04.258-05
12,189,1,2023-02-15 09:11:04.263-05
12,26,1,2023-02-15 09:11:04.268-05
12,74,5,2023-02-15 09:11:14.108-05
12,441,5,2023-02-15 09:11:16.68-05
12,61,5,2023-02-15 09:11:20.201-05
12,281,5,2023-02-15 09:11:22.142-05
12,150,5,2023-02-15 09:11:23.66-05
12,237,1,2023-02-15 09:11:25.382-05
12,199,1,2023-02-15 09:11:25.397-05
12,369,1,2023-02-15 09:11:25.401-05
12,146,1,2023-02-15 09:11:25.406-05
12,303,1,2023-02-15 09:11:25.41-05
12,470,1,2023-02-15 09:11:25.415-05
12,436,1,2023-02-15 09:11:25.419-05
12,484,5,2023-02-15 09:11:31.213-05
12,439,5,2023-02-15 09:11:32.385-05
12,58,5,2023-02-15 09:11:34.816-05
12,46,5,2023-02-15 09:11:36.155-05
12,456,5,2023-02-15 09:11:39.463-05
12,154,5,2023-02-15 09:11:40.163-05
12,197,1,2023-02-15 09:11:42.289-05
12,112,1,2023-02-15 09:11:42.298-05
12,473,1,2023-02-15 09:11:42.302-05
12,312,1,2023-02-15 09:11:42.307-05
12,365,1,2023-02-15 09:11:42.312-05
12,267,1,2023-02-15 09:11:42.317-05
18,480,5,2023-02-15 10:31:11.552-05
18,63,5,2023-02-15 10:31:11.585-05
18,192,5,2023-02-15 10:31:11.595-05
18,341,1,2023-02-15 10:31:11.604-05
18,234,5,2023-02-15 10:31:11.614-05
18,70,5,2023-02-15 10:31:11.626-05
18,435,5,2023-02-15 10:31:11.638-05
18,64,5,2023-02-15 10:31:11.647-05
18,68,5,2023-02-15 10:31:11.656-05
18,126,5,2023-02-15 10:31:11.663-05
18,92,5,2023-02-15 10:31:11.672-05
18,193,5,2023-02-15 10:31:11.698-05
18,190,5,2023-02-15 10:31:50.756-05
18,157,5,2023-02-15 10:31:59.002-05
18,235,5,2023-02-15 10:32:09.112-05
18,152,5,2023-02-15 10:32:14.949-05
18,69,5,2023-02-15 10:32:18.885-05
18,417,5,2023-02-15 10:32:24.696-05
17,317,5,2023-02-15 10:32:29.716-05
17,360,5,2023-02-15 10:32:29.731-05
17,69,5,2023-02-15 10:32:29.739-05
17,332,1,2023-02-15 10:32:29.748-05
17,331,1,2023-02-15 10:32:29.76-05
17,139,5,2023-02-15 10:32:29.77-05
17,207,5,2023-02-15 10:32:29.779-05
17,198,1,2023-02-15 10:32:29.787-05
17,180,5,2023-02-15 10:32:29.797-05
17,216,1,2023-02-15 10:32:29.807-05
17,396,5,2023-02-15 10:32:29.815-05
17,420,1,2023-02-15 10:32:29.823-05
18,174,5,2023-02-15 10:32:30.701-05
18,74,5,2023-02-15 10:32:34.84-05
17,178,5,2023-02-15 10:32:38.722-05
17,480,5,2023-02-15 10:32:42.219-05
17,155,5,2023-02-15 10:32:44.207-05
17,141,5,2023-02-15 10:32:46.662-05
17,92,5,2023-02-15 10:32:49.187-05
17,162,5,2023-02-15 10:32:51.33-05
17,356,5,2023-02-15 10:32:53.16-05
18,66,5,2023-02-15 10:33:03.536-05
18,213,5,2023-02-15 10:33:05.765-05
18,358,5,2023-02-15 10:33:10.933-05
17,453,5,2023-02-15 10:33:19.749-05
17,232,5,2023-02-15 10:33:22.126-05
18,106,1,2023-02-15 10:33:22.784-05
17,292,5,2023-02-15 10:33:24.048-05
17,315,5,2023-02-15 10:33:37.708-05
17,316,5,2023-02-15 10:33:39.334-05
17,228,5,2023-02-15 10:37:08.69-05
17,59,5,2023-02-15 10:37:10.924-05
17,293,5,2023-02-15 10:37:15.808-05
17,256,5,2023-02-15 10:39:32.52-05
20,126,5,2023-02-15 11:14:59.732-05
20,53,5,2023-02-15 11:14:59.757-05
20,438,5,2023-02-15 11:14:59.764-05
20,253,5,2023-02-15 11:14:59.771-05
20,287,5,2023-02-15 11:14:59.778-05
20,178,5,2023-02-15 11:14:59.785-05
20,219,5,2023-02-15 11:14:59.792-05
20,209,5,2023-02-15 11:14:59.801-05
20,252,5,2023-02-15 11:14:59.808-05
20,211,5,2023-02-15 11:14:59.821-05
20,286,5,2023-02-15 11:14:59.828-05
20,142,5,2023-02-15 11:14:59.835-05
20,201,5,2023-02-15 11:16:16.825-05
21,319,5,2023-02-15 11:22:21.191-05
21,368,1,2023-02-15 11:22:21.214-05
21,134,5,2023-02-15 11:22:21.222-05
